,full_text,label,clean_text
0,@lhayesno Maka itu pilih lah....Anies Baswedan... presiden NKRI 2024...,1,pilih presiden nkri
1,"Terimakasih anies baswedan.. Terima kasih Anies Baswedan.. dari kami FISIP UI Ntuh bukan buzzer, bukan kaleng² tapi golongan intelektual yg tentunya punya wawasan politik siapa yg cocok jadi presiden 2024  Terimakasih Anies Baswedan   I am Bond 007 I am Baswedan 2024 https://t.co/GRKYsgyNRB",1,terimakasih terima kasih fisip ui ntuh buzzer kaleng golong intelektual punya wawas politik cocok jadi presiden terimakasih bond
2,@sutanmangara InshaAllah Anies Baswedan PRESIDEN RI 2024.H,1,inshaallah presiden ri h
3,@Yurissa_Samosir @bos_sir @Prakasa_AYP2 @QianzyZ @Kang_Toniee @mustafaagus007 @BSbukit @doelpaten @MuhiqR @NohCeukenohhh @__g_h_c_g_h_c__ Bismillahirrahmanirrahim. 2024 dukung Anies Baswedan jadi presiden Indonesia.,1,bismillahirrahmanirrahim dukung jadi presiden indonesia
4,@aniesbaswedan @FISIP_UI @BEMFISIPUI @univ_indonesia Pak Anies sudah berada pada next level. Tidak sabar menanti buah pikiran dan karya Pak Anies untuk mewujudkan keadilan sosial bagi seluruh rakyat Indonesia.  Anies Baswedan. Presiden 2024. Insya Allah.,1,pak lanjut level sabar buah pikir karya pak wujud adil sosial rakyat indonesia presiden insya allah
5,Salam PERUBAHAN dan PERSATUAN untuk INDONESIA 🇮🇩 Lebih Baik DEMOKRAT JAYA PANCASILA ABADI ✊ Anies Baswedan AHY Presiden dan wakil RI di 2024,1,salam ubah satu indonesia baik demokrat jaya pancasila abadi ahy presiden wakil ri
6,@yaniarsim @aniesbaswedan @BEMFISIPUI @prabowo @ganjarpranowo Cocok Pak Anies Baswedan menjadi Presiden NKRI Ke-8 Periode 2024-2034.,1,cocok pak jadi presiden nkri periode
7,Yang Setuju Pak Anies Baswedan Jadi Presiden 2024 RTL https://t.co/QEWJhyxWrB,1,tuju pak jadi presiden rtl
8,Pengamat Politik Bongkar Alasan Anies Baswedan Pantas Jadi Presiden 2024.  #AniesPantas https://t.co/50sq48HoGD,1,politik bongkar alas jadi presiden
9,"@realAmienRais 2024, Semoga Bung Anies Baswedan terpilih menjadi Presiden.",1,moga bung pilih jadi presiden
10,Wuik para pengamat Politik Bongkar Alasan Anies Baswedan Pantas Jadi Presiden 2024. Seru nih! Kesempatan Anies buat jadi presiden makin terbuka lebar cuy! #AniesPantas @dmulcet,1,wuik politik bongkar alas jadi presiden seru jadi presiden buka lebar cuy
11,@BosPurwa @aniesbaswedan Semoga Pak Anies Baswedan jadi presiden Indonesia pada tahun 2024 dan mengimplementasikan semua gagasannya,1,moga pak jadi presiden indonesia tahun implementasi gagas
12,@GeiszChalifah Pak Anies Baswedan pilihan rakyat Indonesia presiden RI di tahun 2024,1,pak pilih rakyat indonesia presiden ri tahun
13,JUSUF KALLA MENDUKUNG PENUH ANIES BASWEDAN UNTUK MENJADI PRESIDEN RI 2024....‼️  ANIES BASWEDAN TELAH DI DZOLIMI OLEH SPARST UNGKAP JUDUF KALLA...  #RakyatGakButuhJokowi #RakyatGakButuhJokowi 🆘🆗 https://t.co/aElqNZ0PgQ,1,jusuf kalla dukung penuh jadi presiden ri dzolimi sparst ungkap juduf kalla
