,full_text,label,clean_text
0,"@mirashahabudin @Mdy_Asmara1701 Indonesia butuh di pimpin oleh seseorang kharismatik seperti Pak prabowo dan mas gibran. Mereka adalah dua orang hebat,,1(Positive)",1,indonesia butuh pimpin orang kharismatik pak mas gibran orang hebat positive
1,"HUT PIRA Ke-15: Kader Perempuan Gerindra Memanjatkan Doa untuk Prabowo Subianto di Pemilu 2024 - https://t.co/qZERIjcZPR https://t.co/nN9ehgeXgK #Prabowo #BangkitBersama,,",1,hut pira kader perempuan gerindra panjat doa milu
2,"@zyifals @DrPullmanrogers @Rasto66010876 @Akhmad67523072 @nunungmar1404 @feroferraferri @BlueNeo81 @_25selawe @Abah122446 @liputan6dotcom @officialMKRI @prabowo Ya kita tunggu aja partai gurem banyak tingkah merasa hebat tapi Nitizen ketawa kemana arah anginya hasil manfaatkan nama Jokowi bermuara..kalau ke Capres tua.. ya penghianat namanya,,",0,iya tunggu partai gurem tingkah rasa hebat nitizen ketawa arah anginya hasil manfaat nama jokowi muara capres tua iya penghianat nama
3,"@fadlizon @Gerindra @prabowo Makasih udah 2 x pilih beliau dan mohon maaf saat ini harus berubah pilihan untuk saya dan keluarga besar saya. AMIN untuk Indonesia lebih baik,,",0,terima kasih kali pilih beliau mohon maaf ubah pilih keluarga besar amin indonesia baik
4,"@mirashahabudin @psi_id @erinagudono Iya... Sama juga semoga ada kabar baik hari ini kalau misalkan jadi. Maju terus buat mas gibran buat bisa mendampingi pak prabowo buat pilpres nanti,,",1,iya moga kabar baik hari misal jadi maju terus mas gibran damping pak pilpres
5,"@Gerindra ALL IN PRABOWO!! BISMILLAH DIKIRIM COKLAT SAMA MIMIN🫠,,",1,all bismillah kirim coklat admin
6,"@PartaiSocmed @prabowo @susipudjiastuti monggo bu, kami siap mendukung 😁,,",1,monggo bu siap dukung
7,"@ProArstkPrabowo @prabowo @Gerindra Saya suka dgn totalitas pak prabowo dalam mengabdi pada NKRI. Beliau memiliki harapan sangat hebat buat masa depan Indonesia. Yuk Gabung #AkuRelawanPrabowo @prabowo @Gerindra,,",1,suka totalitas pak abdi nkri beliau milik harap hebat masa indonesia yuk gabung
8,"@Subur0204 Kalau mau milih Prabowo nanti di khianati lagi, dia masuk kolam Cebong lagi 🤣,,",0,pilih khianat masuk kolam cebong
9,"@Resty_J_Cayah @prabowo @jokowi 😂😂😂,,",1,
10,"@BSbukit @prabowo @fadlizon @Gerindra Semoga anjing ini segera mendapat balasan setimpal.,,",0,moga anjing balas timpal
11,"@Dennysiregar7 Prabowo optimus menang, maju tanpa pasangan 💪,,",1,optimus menang maju pasang
12,"@Fahrihamzah mantap Bang. PRABOWO - GIBRAN ! udah cucok.... kapan nih deklarasi ?  cemman kalean rasa ?,,",1,mantap mas gibran cocok deklarasi cemman kalean rasa
13,"@Fahrihamzah sebenarnya di ngejebak prabowo biar milih gibran.. secara logika dan fakta selama ini fahri ini menentang dinasti .. pelan pelan pak sopir.. eh hati hati pak prabowo, jangan terjebak permainan fahri, pilih wakil NU .. anda terancam kehilangan suara NU.,,",0,benar ngejebak pilih gibran logika fakta fahri dinasti pelan pelan pak sopir eh hati hati pak jebak main fahri pilih wakil nu ancam hilang suara nu
14,"@Gerindra Min semoga menang ya tahun depan udah nunggu banget ini bapak owo tercinta menang presiden Aamiin @prabowo @Gerindra,,",1,min moga menang iya tahun tunggu banget bapak owo cinta menang presiden amin
15,"Selamat Pagi penyuara Kebenaran dan Keadilan. Para Pandu Ibu Pertiwi.   Mas @ganjarpranowo punya hajat moral utk meminta Pak @mohmahfudmd utk mengundurkan diri dari Menteri. Pak @prabowo punya hajat moral utk tdk menunjuk wakilnya hasil proses dinasti dan memperalat hukum. https://t.co/VT5CAOcGKe,,",0,selamat pagi suara benar adil pandu ibu pertiwi mas punya hajat moral minta pak undur menteri pak punya hajat moral tunjuk wakil hasil proses dinasti alat hukum
16,"@DoankWarto Jika Anis kalah di puteran pertama ingat jangan pilih Prabowo 😂,,",0,anis kalah puter pertama ingat pilih
17,"@Delulu70596312 @HakimGarisLurus @Paltiwest Memang prestasi Pak Prabowo selama ini apa nder? atau jika nanti jd presiden Pak Prabowo mo ngapain nder? 😉,,",0,prestasi pak brother jadi presiden pak sedang apa brother
18,"@FaGtng Prabowo sukses besar prank dan memecah belah  loyalis Pak Jokowi, sekaligus ruang bagi rakyat menguji kualitas Gibran yg tampaknya memang mentok sih, klemar klemer, tampak lemah dan tidak berpendirian,,",0,sukses besar prank pecah belah loyalis pak jokowi ruang rakyat uji kualitas gibran tampak mentok sih klemar klemer tampak lemah rian
19,"@ProPrabsultar @prabowo @Gerindra Setuju sekali temans, pak prabowo berharap bangsa bersatu tidak dgn perselisihan, karena NKRI bisa bangun dan makmur kalau semua membantu. Yuk Gabung #AkuRelawanPrabowo @prabowo @Gerindra,,",1,tuju temans pak harap bangsa satu selisih nkri bangun makmur bantu yuk gabung
20,"@ProArstkPrabowo @prabowo @Gerindra Orang2 semakin yakin visi yang disampaikan pak prabowo, benar dengan persatuan, kita mendapatkan kebersamaan utk menjawab segala masalah. Yuk Gabung #AkuRelawanPrabowo @prabowo @Gerindra,,",1,orang yakin visi pak benar satu jawab masalah yuk gabung
21,"@JokerWoen_009 @BANGSAygSUJUD Personal branding Prabowo nyaris gak ada makanya jualan foto Pak Jokowi. Semoga KPK punya nyali utk telusuri anggaran food estate di Agrinas. https://t.co/xs8XvnpKq6,,",0,personal branding jual foto pak jokowi moga kpk punya nyali telusur anggar food estate agrinas
22,"@VIVAcoid Team all in prabowo-gibran demi Indonesia yang lebih baik kedepannya,,",1,team all gibran indonesia baik
23,"@Miduk17 Jujur, sy sbg org biasa dr udik menilai Prabowo akan nyunsep lg. Dia sbtulnya bukan kuda pacu. Dipasang dgn joki siapapun memang kudanya tdk kuat lari..,,",0,jujur orang udik nilai nyunsep sbtulnya kuda pacu pasang joki kuda kuat lari
