full_text,label
Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/OMEIBLbD4h,1
"@ch_chotimah2 @ganjarpranowo Ganjar capres rasis, mirip nazi yg anti Israel",0
Ganjar Pranowo pemimpin yang kerja nyata untuk kepentingan rakyat  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/dZxWlSkBMi,1
Ganjar Pranowo pemimpin yang memiliki keberanian dan nyali  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/KnRr6mHD8Q,1
Ganjar Pranowo pemimpin yang visioner dan cerdas  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/uyPFUctATQ,1
Ganjar Pranowo membawa industri kreatif to the next level  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/8ZBIwrpJyX,1
Ganjar Pranowo pemimpin yang memberi teladan bagi rakyat untuk menghormati para ulama #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/Ph5a9ul8Kz,1
"Selain hina Presiden Jokowi, Rocky Gerung juga kedapatan jelek-jelekin Bakal Capres Ganjar Pranowo. Pernyataan negatif soal Ganjar Pranowo itu disampaikan Rocky Gerung saat mengisi acara bertajuk Dialog Akal Sehat di Lombok Timur, Nusa Tenggara Barat. https://t.co/JVErbbYgcX",0
@idtodayco Ohh capres ganjar ini trnyata prabayar yahh.. pulsa donk😁,0
Ganjar Pranowo capres merakyat.. mau turun melihat kondisi rakyat dan mendengar keluhan rakyat.. Gak heran diterima luas oleh rakyat..  Ian Kasela Mario Dandy Nikah Supermoon Refly Harun Rocky Gerung Malam IAN IAN IAN Jokowi TikTok Karina Nge X Bareskrim #GanjarMenangTotal https://t.co/vkBdKO2YCe,0
