full_text,label
"@mirashahabudin @Mdy_Asmara1701 Indonesia butuh di pimpin oleh seseorang kharismatik seperti Pak prabowo dan mas gibran. Mereka adalah dua orang hebat,,1(Positive)",1
"HUT PIRA Ke-15: Kader Perempuan Gerindra Memanjatkan Doa untuk Prabowo Subianto di Pemilu 2024 - https://t.co/qZERIjcZPR https://t.co/nN9ehgeXgK #Prabowo #BangkitBersama,,",1
"@zyifals @DrPullmanrogers @Rasto66010876 @Akhmad67523072 @nunungmar1404 @feroferraferri @BlueNeo81 @_25selawe @Abah122446 @liputan6dotcom @officialMKRI @prabowo Ya kita tunggu aja partai gurem banyak tingkah merasa hebat tapi Nitizen ketawa kemana arah anginya hasil manfaatkan nama Jokowi bermuara..kalau ke Capres tua.. ya penghianat namanya,,",0
"@fadlizon @Gerindra @prabowo Makasih udah 2 x pilih beliau dan mohon maaf saat ini harus berubah pilihan untuk saya dan keluarga besar saya. AMIN untuk Indonesia lebih baik,,",0
"@mirashahabudin @psi_id @erinagudono Iya... Sama juga semoga ada kabar baik hari ini kalau misalkan jadi. Maju terus buat mas gibran buat bisa mendampingi pak prabowo buat pilpres nanti,,",1
"@Gerindra ALL IN PRABOWO!! BISMILLAH DIKIRIM COKLAT SAMA MIMIN🫠,,",1
"@PartaiSocmed @prabowo @susipudjiastuti monggo bu, kami siap mendukung 😁,,",1
"@ProArstkPrabowo @prabowo @Gerindra Saya suka dgn totalitas pak prabowo dalam mengabdi pada NKRI. Beliau memiliki harapan sangat hebat buat masa depan Indonesia. Yuk Gabung #AkuRelawanPrabowo @prabowo @Gerindra,,",1
"@Subur0204 Kalau mau milih Prabowo nanti di khianati lagi, dia masuk kolam Cebong lagi 🤣,,",0
"@Resty_J_Cayah @prabowo @jokowi 😂😂😂,,",1
"@BSbukit @prabowo @fadlizon @Gerindra Semoga anjing ini segera mendapat balasan setimpal.,,",0
"@Dennysiregar7 Prabowo optimus menang, maju tanpa pasangan 💪,,",1
"@Fahrihamzah mantap Bang. PRABOWO - GIBRAN ! udah cucok.... kapan nih deklarasi ?  cemman kalean rasa ?,,",1
"@Fahrihamzah sebenarnya di ngejebak prabowo biar milih gibran.. secara logika dan fakta selama ini fahri ini menentang dinasti .. pelan pelan pak sopir.. eh hati hati pak prabowo, jangan terjebak permainan fahri, pilih wakil NU .. anda terancam kehilangan suara NU.,,",0
"@Gerindra Min semoga menang ya tahun depan udah nunggu banget ini bapak owo tercinta menang presiden Aamiin @prabowo @Gerindra,,",1
"Selamat Pagi penyuara Kebenaran dan Keadilan. Para Pandu Ibu Pertiwi.   Mas @ganjarpranowo punya hajat moral utk meminta Pak @mohmahfudmd utk mengundurkan diri dari Menteri. Pak @prabowo punya hajat moral utk tdk menunjuk wakilnya hasil proses dinasti dan memperalat hukum. https://t.co/VT5CAOcGKe,,",0
"@DoankWarto Jika Anis kalah di puteran pertama ingat jangan pilih Prabowo 😂,,",0
"@Delulu70596312 @HakimGarisLurus @Paltiwest Memang prestasi Pak Prabowo selama ini apa nder? atau jika nanti jd presiden Pak Prabowo mo ngapain nder? 😉,,",0
"@FaGtng Prabowo sukses besar prank dan memecah belah  loyalis Pak Jokowi, sekaligus ruang bagi rakyat menguji kualitas Gibran yg tampaknya memang mentok sih, klemar klemer, tampak lemah dan tidak berpendirian,,",0
"@ProPrabsultar @prabowo @Gerindra Setuju sekali temans, pak prabowo berharap bangsa bersatu tidak dgn perselisihan, karena NKRI bisa bangun dan makmur kalau semua membantu. Yuk Gabung #AkuRelawanPrabowo @prabowo @Gerindra,,",1
"@ProArstkPrabowo @prabowo @Gerindra Orang2 semakin yakin visi yang disampaikan pak prabowo, benar dengan persatuan, kita mendapatkan kebersamaan utk menjawab segala masalah. Yuk Gabung #AkuRelawanPrabowo @prabowo @Gerindra,,",1
"@JokerWoen_009 @BANGSAygSUJUD Personal branding Prabowo nyaris gak ada makanya jualan foto Pak Jokowi. Semoga KPK punya nyali utk telusuri anggaran food estate di Agrinas. https://t.co/xs8XvnpKq6,,",0
"@VIVAcoid Team all in prabowo-gibran demi Indonesia yang lebih baik kedepannya,,",1
"@Miduk17 Jujur, sy sbg org biasa dr udik menilai Prabowo akan nyunsep lg. Dia sbtulnya bukan kuda pacu. Dipasang dgn joki siapapun memang kudanya tdk kuat lari..,,",0
"@susipudjiastuti Pokoe ibu cawapres pak prabowo titik ga koma,,",1
"@mihrabku @jokowi @prabowo @mohmahfudmd @erickthohir Padahal dulu ada pelajaran Budi Pekerti ya mas Lorong.,,",0
"@CahAngo45022699 @Sohnijee1 Saat ini @prabowo sedang mengalami KRISIS KEPERCAYAAN DIRI,dia sdh tdk memiliki keyakinan bisa menang di Pilpres 2024. Bahkan dia KETAKUTAN menghadiri diskusi terbuka dgn Mahasiswa. Keyakinan dia hanya @jokowi &amp  @gibran_tweet yg bisa membantu dia menjadi RI 1 CAPRES SONTOLOYO 😂 https://t.co/MCHd7mfQ2w,,",0
"@AbasBalapradana @ainunnajib @susipudjiastuti Beliau benar-benar merakyat,lebih mendengarkan..kami sangat berharap cawapresnya pak @prabowo adalah ibu @susipudjiastuti,,",1
"Keraguan publik akan kemampuan Wali Kota Solo Gibran Rakabuming Raka setelah ditunjuk menjadi cawapres Prabowo Subianto tampaknya akan segera hilang setelah melihat berbagai tokoh yang akan menjadi mentor politik di belakangnya.  https://t.co/28BSnZzb3X,,",1
"AMPI Dukung Penuh hasil Rapimnas Golkar yang mengesahkan Gibran Rakabuming Raka sebagai Cawapres mendampingi Capres Letjen TNI Purn. Prabowo Subianto. #partaigolkar  #golkarpedia #airlanggahartarto #golkarprabowo #gibranmasukgolkar #jerrysambuaga https://t.co/k4xbDWVzK7,,",1
"Bakal calon presiden dari KIM Prabowo Subianto memastikan Koalisi Indonesia Maju (KIM) tidak memiliki kendala sama sekali dalam komunikasi dan konsolidasi. https://t.co/RHlvEJaN89,,",1
"SIAPA PRESIDEN TERBAIK 2024 PILIHAN ANDA ?  - Anies Baswedan - 49.9% - Ganjar Pranowo - 45.1% - Prabowo Subianto - 5.0%  Total suara: 36347  Berikan suara anda, klik link https://t.co/tDwovS0ZVC  Tolong forward ke group dan teman-temanmu ya. Terima kasih,,",0
"@Gojokaisen86 @Gerindra Salah satu sosok yang tulus dalam memimpin negeri ini kedepannya adalah pak prabowo subianto. Semoga beliau hisa diberikan kesempatan ya untuk mewujudkan nya,,",1
"Relawan pasangan Prabowo Subianto dan Gibran Rakabuming Raka sudah mulai memenuhi Indonesia Arena sebagai rangkaian pendaftaran diri sebagai Calon Presiden dan Wakil Presiden ke KPU RI, Rabu (25/10) pagi. 🎥Ard #BeritaElshinta https://t.co/rnzKhNLH9P,,",1
"@Gojokaisen86 @info_beragam Sosok pak prabowo subianto sudah punya nama yang cukup besar di mata dunia, saya percaya kalau Indonesia di pimpin beliau Indonesia akan menjadi negara yang cukup disegani oleh negara negara di seluruh dunia,,",1
"@Gojokaisen86 @kompascom Saya berharap kedepannya Indonesia dipimpin oleh orang yang cinta tanah air dan mencintai masyarakat nya seperti yang dicontohkan oleh pak prabowo subianto,,",1
"@Gojokaisen86 @info_beragam All in prabowo subianto untuk Indonesia yang lebih baik kedepan,,",1
"Program ekonomi Prabowo Subianto untuk rakyat. Pak Prabowo @prabowo #KodeKita08 #MenataMasaDepan https://t.co/57Khtwxu28,,",1
"Melihat begitu penting ketahanan air inilah Ketua Umum Partai Gerindra Prabowo Subianto siap melanjutkan program ekonomi pro rakyat yang digagas Presiden Joko Widodo atau Jokowi. Pak Prabowo @prabowo #KodeKita08 #MenataMasaDepan,,",1
