,full_text,label,clean_text
0,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/OMEIBLbD4h,1,dukung capres ri
1,"@ch_chotimah2 @ganjarpranowo Ganjar capres rasis, mirip nazi yg anti Israel",0,capres ras mirip nazi anti israel
2,Ganjar Pranowo pemimpin yang kerja nyata untuk kepentingan rakyat  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/dZxWlSkBMi,1,pimpin kerja nyata penting rakyat
3,Ganjar Pranowo pemimpin yang memiliki keberanian dan nyali  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/KnRr6mHD8Q,1,pimpin milik berani nyali
4,Ganjar Pranowo pemimpin yang visioner dan cerdas  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/uyPFUctATQ,1,pimpin visioner cerdas
5,Ganjar Pranowo membawa industri kreatif to the next level  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/8ZBIwrpJyX,1,bawa industri kreatif tryout the lanjut level
6,Ganjar Pranowo pemimpin yang memberi teladan bagi rakyat untuk menghormati para ulama #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/Ph5a9ul8Kz,1,pimpin beri teladan rakyat hormat ulama
7,"Selain hina Presiden Jokowi, Rocky Gerung juga kedapatan jelek-jelekin Bakal Capres Ganjar Pranowo. Pernyataan negatif soal Ganjar Pranowo itu disampaikan Rocky Gerung saat mengisi acara bertajuk Dialog Akal Sehat di Lombok Timur, Nusa Tenggara Barat. https://t.co/JVErbbYgcX",0,hina presiden jokowi rocky gerung jelek jelek bakal capres nyata negatif soal rocky gerung isi acara tajuk dialog akal sehat lombok timur nusa tenggara barat
8,@idtodayco Ohh capres ganjar ini trnyata prabayar yahh.. pulsa donk😁,0,capres nyata prabayar pulsa
9,Ganjar Pranowo capres merakyat.. mau turun melihat kondisi rakyat dan mendengar keluhan rakyat.. Gak heran diterima luas oleh rakyat..  Ian Kasela Mario Dandy Nikah Supermoon Refly Harun Rocky Gerung Malam IAN IAN IAN Jokowi TikTok Karina Nge X Bareskrim #GanjarMenangTotal https://t.co/vkBdKO2YCe,0,capres rakyat turun lihat kondisi rakyat dengar keluh rakyat heran terima luas rakyat ian kasela mario dandy nikah supermoon refly harun rocky gerung malam ian ian ian jokowi tiktok karina nge kali bareskrim
10,Semua masyarakat dari berbagai kalangan mencintai pak Ganjar Pranowo ❤️❤️ Capres terbail pilihan rakyat 😊 #GanjarPresiden   #GanjarMenangTotal Ian Kasela Mario Dandy Nikah Supermoon Refly Harun Rocky Gerung Malam IAN IAN IAN Jokowi TikTok Karina Nge X Bareskrim https://t.co/B7bIiGyNDS,1,masyarakat kalang cinta pak capres terbail pilih rakyat ian kasela mario dandy nikah supermoon refly harun rocky gerung malam ian ian ian jokowi tiktok karina nge kali bareskrim
11,Ganjar pemimpin yang memberi teladan bagi rakyat untuk menghormati para Ulama #GanjarPranowo #GanjarCapres #24thGoldenMarkYear #ウソ婚 バニーの日 https://t.co/anWKYtZQQV,1,pimpin beri teladan rakyat hormat ulama
12,Ganjar akan beri ruang bagi musisi dan konten kreator kembangkan industri kreatif tanah air #GanjarPranowo #GanjarCapres #24thGoldenMarkYear #ウソ婚 バニーの日 https://t.co/FSeRTxefSR,1,beri ruang musisi konten kreator kembang industri kreatif tanah air
13,Ganjar Pranowo membantu dan peduli sesama #GanjarCapres #GanjarPresiden https://t.co/rvLMh2z9fy,1,bantu peduli
14,Ganjar Pranowo komitmen manfaatkan infrastruktur untuk percepatan ekonomi #GanjarCapres #GanjarPresiden https://t.co/0s6H2JJOAU,1,komitmen manfaat infrastruktur cepat ekonomi
15,Emak-emak dukung Ganjar Pranowo jadi presiden #GanjarCapres #GanjarPresiden https://t.co/SKxOUPgk9s,1,emak emak dukung jadi presiden
16,Ganjar Pranowo tindak tegas pungli #GanjarCapres #GanjarPresiden https://t.co/yiGlmVpfuf,1,tindak tegas pungli
17,Mas Gibran dukung Ganjar Pranowo #GanjarCapres #GanjarPresiden https://t.co/1KT5XD7rvU,1,mas gibran dukung
18,Ganjar Pranowo beri ruang untuk musisi dan konten kreator #GanjarCapres #GanjarPresiden https://t.co/7J3F6TUF8x,1,beri ruang musisi konten kreator
19,Ganjar Pranowo Manfaatkan Infrastruktur Untuk Percepatan Ekonomi  #GanjarPresiden #GanjarCapres https://t.co/XKKwqDiWN0,1,manfaat infrastruktur cepat ekonomi
20,Baju hitam putih Ganjar Pranowo tanda keberanian dan kesederhanaan #GanjarCapres #GanjarPresiden https://t.co/9Bd9jsILl2,1,baju hitam putih tanda berani sederhana
21,Ganjar Pranowo bawa kemajuan industri kreatif Indonesia #GanjarCapres #GanjarPresiden https://t.co/kX579zNZMH,1,bawa maju industri kreatif indonesia
22,Once Mekel dukung Ganjar Pranowo #GanjarCapres #GanjarPresiden https://t.co/bYtwHARHS5,1,once mekel dukung
23,Ganjar Pranowo Tindak Tegas Pungli  #GanjarPresiden #GanjarCapres https://t.co/YJIGjgGafV,1,tindak tegas pungli
24,Ganjar Pranowo Capres Millenial  #GanjarPresiden #GanjarCapres2024 https://t.co/k4C2QpVUbC,1,capres millenial
25,Ganjar Pranowo cetak prestasi bukan provokasi  #GanjarCapres https://t.co/B3KaVvDRx9,1,cetak prestasi provokasi
26,Ganjar Pranowo siap melanjutkan program pembangunan pak Jokowi  #GanjarCapres https://t.co/HQkdX988pR,1,siap lanjut program bangun pak jokowi
27,Ganjar Pranowo menjaga lingkungan  #GanjarCapres https://t.co/orZcab9liw,1,jaga lingkung
28,Dukung Ganjar Pranowo sebagai presiden Indonesia tahun 2024 #GanjarCapres #ganjarpranowo #capres2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/eGivwJQ56O,1,dukung presiden indonesia tahun
29,Dukung Ganjar Pranowo sebagai presiden Indonesia tahun 2024 #GanjarCapres #ganjarpranowo #capres2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/u5hea4e2B3,1,dukung presiden indonesia tahun
30,Ganjar Pranowo siap lanjutkan visi misi pak Jokowi termasuk pembangunan IKN Nusantara #GanjarCapres https://t.co/Z6WX98a2ee,1,siap lanjut visi misi pak jokowi masuk bangun ikn nusantara
31,Dukung Ganjar Pranowo sebagai presiden Indonesia tahun 2024 #GanjarCapres #ganjarpranowo #capres2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/8qmJauChtc,1,dukung presiden indonesia tahun
32,Dukung Ganjar Pranowo sebagai presiden Indonesia tahun 2024 #GanjarCapres #ganjarpranowo #capres2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/5rUwKiy4x3,1,dukung presiden indonesia tahun
33,Dukung Ganjar Pranowo sebagai presiden Indonesia tahun 2024 #GanjarCapres #ganjarpranowo #capres2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/jAQ16apItT,1,dukung presiden indonesia tahun
34,"Ganjar memiliki modal besar utk menjadi capres &amp  berpotensi memenangkan Pilpres 2024. Potensinya sbg capres semakin kuat berkat dukungan solid dari partai2 pendukung. Sehingga, tak ada alasan bagi Ganjar Pranowo utk berubah posisi menjadi cawapres.  Tidur Tele Luffy  Pempek Bobo https://t.co/VfbupBFs9K",1,milik modal besar jadi capres amp potensi menang pilpres potensi capres kuat berkat dukung solid partai dukung alas ubah posisi jadi cawapres tidur tele luffy pempek tidur
35,Potensi @ganjarpranowo sebagai calon presiden semakin kuat berkat dukungan yang semakin solid dari partai-partai pendukung. Ganjar memiliki modal besar untuk menjadi capres dan berpotensi memenangkan Pilpres 2024.  Tidur Tele Luffy  Pempek Bobo https://t.co/prHLgEgvvG,1,potensi calon presiden kuat berkat dukung solid partai partai dukung milik modal besar jadi capres potensi menang pilpres tidur tele luffy pempek tidur
36,Ratusan purnawirawan TNI POLRI dukung Ganjar Pranowo jadi Presiden 2024 https://t.co/MxeNRZfc04   #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar,1,ratus purnawirawan tni polri dukung jadi presiden
