,full_text,label
0,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/OMEIBLbD4h,1
1,"@ch_chotimah2 @ganjarpranowo Ganjar capres rasis, mirip nazi yg anti Israel",0
2,Ganjar Pranowo pemimpin yang kerja nyata untuk kepentingan rakyat  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/dZxWlSkBMi,1
3,Ganjar Pranowo pemimpin yang memiliki keberanian dan nyali  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/KnRr6mHD8Q,1
4,Ganjar Pranowo pemimpin yang visioner dan cerdas  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/uyPFUctATQ,1
5,Ganjar Pranowo membawa industri kreatif to the next level  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/8ZBIwrpJyX,1
6,Ganjar Pranowo pemimpin yang memberi teladan bagi rakyat untuk menghormati para ulama #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/Ph5a9ul8Kz,1
7,"Selain hina Presiden Jokowi, Rocky Gerung juga kedapatan jelek-jelekin Bakal Capres Ganjar Pranowo. Pernyataan negatif soal Ganjar Pranowo itu disampaikan Rocky Gerung saat mengisi acara bertajuk Dialog Akal Sehat di Lombok Timur, Nusa Tenggara Barat. https://t.co/JVErbbYgcX",0
8,@idtodayco Ohh capres ganjar ini trnyata prabayar yahh.. pulsa donk😁,0
9,Ganjar Pranowo capres merakyat.. mau turun melihat kondisi rakyat dan mendengar keluhan rakyat.. Gak heran diterima luas oleh rakyat..  Ian Kasela Mario Dandy Nikah Supermoon Refly Harun Rocky Gerung Malam IAN IAN IAN Jokowi TikTok Karina Nge X Bareskrim #GanjarMenangTotal https://t.co/vkBdKO2YCe,0
10,Semua masyarakat dari berbagai kalangan mencintai pak Ganjar Pranowo ❤️❤️ Capres terbail pilihan rakyat 😊 #GanjarPresiden   #GanjarMenangTotal Ian Kasela Mario Dandy Nikah Supermoon Refly Harun Rocky Gerung Malam IAN IAN IAN Jokowi TikTok Karina Nge X Bareskrim https://t.co/B7bIiGyNDS,1
11,Ganjar pemimpin yang memberi teladan bagi rakyat untuk menghormati para Ulama #GanjarPranowo #GanjarCapres #24thGoldenMarkYear #ウソ婚 バニーの日 https://t.co/anWKYtZQQV,1
12,Ganjar akan beri ruang bagi musisi dan konten kreator kembangkan industri kreatif tanah air #GanjarPranowo #GanjarCapres #24thGoldenMarkYear #ウソ婚 バニーの日 https://t.co/FSeRTxefSR,1
13,Ganjar Pranowo membantu dan peduli sesama #GanjarCapres #GanjarPresiden https://t.co/rvLMh2z9fy,1
14,Ganjar Pranowo komitmen manfaatkan infrastruktur untuk percepatan ekonomi #GanjarCapres #GanjarPresiden https://t.co/0s6H2JJOAU,1
15,Emak-emak dukung Ganjar Pranowo jadi presiden #GanjarCapres #GanjarPresiden https://t.co/SKxOUPgk9s,1
16,Ganjar Pranowo tindak tegas pungli #GanjarCapres #GanjarPresiden https://t.co/yiGlmVpfuf,1
17,Mas Gibran dukung Ganjar Pranowo #GanjarCapres #GanjarPresiden https://t.co/1KT5XD7rvU,1
18,Ganjar Pranowo beri ruang untuk musisi dan konten kreator #GanjarCapres #GanjarPresiden https://t.co/7J3F6TUF8x,1
19,Ganjar Pranowo Manfaatkan Infrastruktur Untuk Percepatan Ekonomi  #GanjarPresiden #GanjarCapres https://t.co/XKKwqDiWN0,1
